 
00:00:00     device    %busy    avque    r+w/s    Kbs/s   avwait   avserv
00:10:00            hdisk116      0      0.0        0        0      0.0      0.0
00:10:00            hdisk113      0      0.0        0        0      0.0      0.0
00:10:00            hdisk117      0      0.0        0        0      0.0      0.0
00:10:00            hdisk115      0      0.0        0        0      0.0      0.0
00:10:00            hdisk123      1      0.0        0       17      0.0     23.6
00:10:00            hdisk124      0      0.0        0       11      0.0     18.1
00:10:00            hdisk119     36      0.0       20     9645      0.3    184.1
00:10:00            hdisk120     36      0.0       20     9793      0.4    187.9
00:10:00           hdisk1033      0      0.0        0        0      0.0      0.0
00:10:00            hdisk121     36      0.0       20     9600      0.5    185.4
00:10:00           hdisk1032      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1034      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1036      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1037      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1038      0      0.0        0        0      0.0      0.0
00:10:00            hdisk130     21      0.0       18      575      0.0     59.4
00:10:00            hdisk129      1      0.0        3      202      0.2      8.2
00:10:00            hdisk133     21      0.0       18      598      0.0     63.4
00:10:00            hdisk131     20      0.0       17      513      0.0     63.8
00:10:00           hdisk1035      0      0.0        0        0      0.0      0.0
00:10:00           hdisk1096      0      0.0        0        1      0.0      5.1
00:10:00            hdisk135     21      0.0       18      530      0.2     63.0
00:10:00             hdisk25      0      0.0        0       10      0.0      1.9
00:10:00           hdisk1104      0      0.0        0        8      0.0      1.6
00:10:00            hdisk125      0      0.0        0       21      0.0      4.6
00:10:00           hdisk1039      0      0.0        0        0      0.0      0.0
00:10:00            hdisk137     21      0.0       18      592      0.0     61.5
00:10:00            hdisk132     21      0.0       18      572      0.2     65.3
00:10:00            hdisk134     21      0.0       18      475      0.3     65.0
00:10:00            hdisk136     21      0.0       18      590      0.0     65.8
00:10:00            hdisk138     21      0.0       18      584      0.0     61.3
00:10:00            hdisk141     21      0.0       17      565      0.0     63.5
00:10:00            hdisk150     21      0.0       18      493      0.1     61.0
00:10:00            hdisk149     21      0.0       19      558      0.1     63.5
00:10:00            hdisk146     21      0.0       17      489      0.0     64.0
00:10:00            hdisk148     21      0.0       18      503      0.1     63.9
00:10:00            hdisk144     21      0.0       19      516      0.0     62.6
00:10:00            hdisk142     21      0.0       18      540      0.0     63.7
00:10:00            hdisk152     21      0.0       18      529      0.1     65.3
00:10:00            hdisk143     21      0.0       19      597      0.1     62.0
00:10:00            hdisk151     21      0.0       19      555      0.3     65.8
00:10:00            hdisk145     21      0.0       18      607      0.1     63.7
00:10:00            hdisk139     21      0.0       18      629      0.0     62.7
00:10:00            hdisk140     21      0.0       18      609      0.1     63.5
00:10:00            hdisk157     21      0.0       18      545      0.0     62.3
00:10:00            hdisk153     21      0.0       18      519      0.2     66.8
00:10:00            hdisk147     21      0.0       18      570      0.0     64.2
00:10:00            hdisk155     21      0.0       18      553      0.0     62.7
00:10:00            hdisk167     21      0.0       18      521      0.1     65.0
00:10:00            hdisk159     21      0.0       18      650      0.2     64.6
00:10:00            hdisk156     21      0.0       18      500      0.1     66.2
00:10:00            hdisk162     21      0.0       18      600      0.0     63.0
00:10:00            hdisk165     21      0.0       18      508      0.0     64.4
00:10:00            hdisk164     21      0.0       18      498      0.0     65.1
00:10:00            hdisk168     21      0.0       18      524      0.1     64.0
00:10:00            hdisk166     21      0.0       17      588      0.2     64.4
00:10:00            hdisk169     21      0.0       18      531      0.1     65.5
00:10:00            hdisk160     21      0.0       18      565      0.0     63.7
